key_osm	value_osm	tag_id	tag_ja
operator	DB Station&Service AG	2010490602	DBステーション＆サービスAG演算子
operator	Deutscher Alpenverein	2010490628	ドイチェアルペン演算子
operator	Deutsches Rotes Kreuz	2010490629	ドイツローテスクロイツ演算子
operator	Domaine Public France	2010490650	ドメーヌ公共フランス演算子
operator	Dr. Richard;ZuklinBus	2010490659	博士リチャード; ZuklinBus演算子
operator	Durham County Council	2010490674	ダラム州議会運営
operator	Durham Region Transit	2010490675	ダーラム地域交通事業者
operator	e-regio GmbH & Co. KG	2010490681	電子レジオ社＆株式会社KG演算子
species	Elaeagnus angustifolia	2010970122	ヤナギバグミ種
operator	Électricité de France	2010490717	電気・ド・フランスのオペレーター
operator	Energie Burgenland AG	2010490742	ENERGIEブルゲンラントAG演算子
operator	Ethekwini Electricity	2010490781	Ethekwini電気事業者
species	Eucalyptus forrestiana	2010970134	ユーカリforrestiana種
species	Eucalyptus sideroxylon	2010970145	ユーカリsideroxylon種
operator	Euskal Trenbide Sarea	2010490788	Euskal Trenbide SAREA演算子
operator	EVG Thüringen-Sachsen	2010490791	EVGチューリンゲン、ザクセン演算子
operator	Ferrocarril del Mayab	2010490815	FerrocarrilデルMayab演算子
operator	Florida Power & Light	2010490845	フロリダ・パワー・アンド・ライト演算子
operator	Fränkischer Albverein	2010490857	FränkischerAlbverein演算子
operator	Genuine Parts Company	2010490885	純正部品会社のオペレーター
operator	GeoInformation Bremen	2010490886	地質情報ブレーメン演算子
boundary	geomorphological-unit	2010630013	地形単位の境界
operator	Georgetown University	2010490887	ジョージタウン大学のオペレータ
operator	Glades Electric Co-Op	2010490899	グレーズエレクトリックコープ事業者
operator	Goois Natuurreservaat	2010490915	Goois Natuurreservaat演算子
operator	Hallesche Verkehrs-AG	2010490965	Hallesche Verkehrs-AG演算子
operator	Hålogaland Kraft Nett	2010490966	Hålogalandクラフト正味オペレータ
operator	Hamburger Hochbahn AG	2010490968	ハンバーガーHochbahn AG演算子
operator	Hampton Roads Transit	2010490970	ハンプトンローズトランジットオペレータ
hgv	designated	2011310004	指定された重量物運搬車両
operator	Οργανισμός Σιδηροδρόμων Ελλάδος	2010490992	ギリシャ国鉄
operator	Οργανισμός Σιδηροδρόμων Ελλάδος (ΟΣΕ)	2010490992	ギリシャ国鉄
operator	ひたちなか市スマイルあおぞらバス	2010491014	ひたちなか市スマイルあおぞらバス
operator	Huron Central Railway	2010491050	ヒューロン中央鉄道事業者
denomination	iglesia_ni_cristo	2011340015	iglesia_ni_cristoの宗派
cuisine	international;regional	2011180087	国際的な郷土料理
operator	Iowa Northern Railway	2010491103	アイオワ州北部の鉄道事業者
cuisine	japanese;international	2011180092	日本、世界各国の料理
operator	Kent State University	2010491201	ケント州立大学演算子
operator	KNG-Kärnten Netz GmbH	2010491232	KNG-ケルンテンネッツ社のオペレータ
operator	Lane Transit District	2010491292	レーントランジット地区演算子
operator	Long Island Rail Road	2010491352	ロングアイランド鉄道事業者
operator	Lubbock Power & Light	2010491360	ラボックパワー＆ライト演算子
species	Magnolia x soulangiana	2010970231	マグノリアのx soulangiana種
operator	Manitoba Conservation	2010491398	マニトバ保全オペレーター
operator	Maryland Park Service	2010491412	メリーランドパークサービス事業者
species	Melaleuca halmaturorum	2010970260	メラルーカhalmaturorum種
species	Melaleuca linariifolia	2010970262	メラルーカlinariifolia種
operator	Mestna občina Maribor	2010491443	Mestnaobčinaマリボル演算子
operator	Metro de Caracas C.A.	2010491449	メトロ・デ・カラカスC.A.オペレーター
operator	Ministerio de Fomento	2010491481	MINISTERIOデFomento演算子
operator	Ministry of Education	2010491485	教育事業者の省
operator	Münsterland Tourismus	2010491542	ミュンスター観光局オペレーター
operator	名古屋市教育委員会	2010491568	名古屋市教育委員会
operator	National Park Service	2010491586	国立公園局のオペレータ
operator	NEL Gastransport GmbH	2010491603	NEL Gastransport社のオペレータ
operator	НП "Общество частных перевозчиков"	2010491669	NP 民間のキャリアの会
operator	NYÍRVV Nonprofit Kft.	2010491683	NYÍRVV非営利のKft。オペレーター
operator	Oahu Transit Services	2010491685	オアフ島トランジットサービスオペレータ
operator	小田急バス;神奈川中央交通	2010491699	小田急バス&神奈川中央交通
operator	近江鉄道大津営業所	2010491711	近江鉄道大津営業所
brand	OK便利店 Circle K	2011920364	OK便利店 Circle K
operator	Opet Petrolcülük A.Ş.	2010491742	OPETPetrolcülükA.S.オペレーター
operator	Oxford Landing Winery	2010491774	オックスフォードランディングワイナリー演算子
railway:traffic_mode	passenger	2012160003	旅客鉄道：traffic_mode
surface	paving_stones:double_t	2010080114	paving_stones：DOUBLE_T表面
hgv	permissive	2011310008	許容重量物運搬車両
species	Persea americana Mill.	2010970290	タブノキアメリカーナミル。種
species	Phellodendron amurense	2010970291	キハダ種
leaf_cycle	Phoenix dactylifera	2010730003	フェニックスdactylifera leaf_cycle
generator:method	photovoltaics	2011650005	太陽光発電の発電機：メソッド
species	PICEA PUNGENS 'GLAUCA'	2010970301	トウヒPUNGENS「グラウカ」の種
maxspeed:type	PL:living_street	2011870075	PL：living_streetのmaxspeed：タイプ
species	Platycladus orientalis	2010970348	コノテガシワオリエンタリス種
species	Populus x euramericana	2010970370	ポプラのx euramericana種
motor_vehicle	private;delivery	2010860018	プライベート;配信motor_vehicle
operator	公/萬里營運所	2010491922	マイルの公開/オペレータ
building	transportation	2010010196	公共交通関連施設
operator	RED UNION FENOSA S.A.	2010491965	REDウニオン・フェノーサS.A.社演算子
cuisine	regional;international	2011180131	地域、国際的な料理
operator	República del Ecuador	2010491991	リパブリカデルエクアドル演算子
operator	Routenetwerken Twente	2010492042	Routenetwerkenトウェンテ演算子
operator	Rumo S.A. Malha Oeste	2010492056	ルーモーS.A.社Malhaオエステ演算子
operator	RWE Renewables Polska	2010492063	RWEの再生可能エネルギーポルスカ演算子
operator	Saargau Linie on Tour	2010492073	ツアーオペレーターのSaargau Linie
operator	Saint-Brévin-les-Pins	2010492092	サンブレビンレパン演算子
operator	Seminole Gulf Railway	2010492153	セミノールガルフ鉄道事業者
sport	soccer;american_football	2010680114	サッカー、スポーツamerican_football
operator	South Western Railway	2010492231	南西部の鉄道事業者
operator	Stadt Wien (Forstamt)	2010492272	スタッドウィーン（Forstamt）演算子
operator	Stadtwerke Düsseldorf	2010492291	Stadtwerkeデュッセルドルフ演算子
operator	Stadtwerke Klagenfurt	2010492302	Stadtwerkeクラーゲンフルト演算子
operator	Stadtwerke Neuss GmbH	2010492314	Stadtwerkeノイス社のオペレータ
operator	Stagecoach South West	2010492336	ステージコーチサウスウエストオペレータ
operator	Südheide Gifhorn GmbH	2010492375	Südheideギフホルン社のオペレータ
operator	T.C. Sağlık Bakanlığı	2010492412	T.C。サグリクBakanlığı演算子
species	Tilia americana 'Nova'	2010970513	ティリアのアメリカーナ「ノヴァ」の種
species	Tilia cordata 'Bohlje'	2010970516	フユボダイジュ「Bohlje」種
species	Tilia cordata 'Rancho'	2010970517	フユボダイジュ「ランチョ」種
route	HU:toll:hgv	2011150040	大型貨物車有料ルート
cuisine	traditional	2011180161	伝統料理店
public_transport	train_station	2010780013	train_station public_transport
operator	Transdev Chamonix Bus	2010492541	Transdevシャモニーバス事業者
operator	Translink NI Railways	2010492550	トランスリンクNI鉄道事業者
operator	宇部市交通局	2010492603	宇部市交通局
operator	University of Colorado Boulder	2010492641	コロラド大学ボールダー校
hgv	unsuitable	2011310010	不適当重量物運搬車両
operator	Veelker GmbH & Co. KG	2010492711	Veelker社＆株式会社KG演算子
operator	Verbandsgemeinde Daun	2010492721	Verbandsgemeinde Daunの演算子
operator	Verkehrsverbund Tirol	2010492725	Verkehrsverbundチロル演算子
operator	Vestische Straßenbahn	2010492728	VestischeStraßenbahn演算子
operator	Via Solutions Südwest	2010492733	ソリューションSüdwest事業者を経由して
operator	Viação Grande Vitoria	2010492735	Viaçãoグランデビトリア演算子
operator	Waldverein Regensburg	2010492777	Waldvereinレーゲンスブルク演算子
operator	Wasserverband Gifhorn	2010492786	Wasserverbandギフホルン演算子
boundary	water_protection_area	2010630044	water_protection_area境界
building:material	wood;plastic	2011050059	木材;プラスチック製の建物：材料
roof:orientation	along/across	2011830003	屋根全体/沿っ：オリエンテーション
operator	Appalachian and Ohio Railroad	2010490095	Appalachian and Ohio Railroad
operator	Appalachian and Ohio Railroad	2010490095	Appalachian and Ohio Railroad
operator	Arizona & California Railroad	2010490109	Arizona & California Railroad
surface	asphalt;paving_stones	2010080017	アスファルト; paving_stones表面
species:en	Azadirachta indica	2012480009	アザディラクタインディカ種：アン
operator	Bihar State Electricity Board	2010490292	Bihar State Electricity Board
operator	BNSF;Union Pacific Railroad	2010490320	BNSF & Union Pacific Railroad
operator	BP Europa SE Oddział w Polsce	2010490332	ポーランドのBPヨーロッパSE支店
operator	Brescia Mobilità SpA	2010490345	ブレシアMobilitàスパオペレーター
building:material	brick,cement_block	2011050004	レンガ＆セメントブロックの建物
building:material	brick;cement_block	2011050004	レンガ＆セメントブロックの建物
operator	Bristol City Council	2010490353	ブリストル市議会演算子
building	electricity	2010010035	電力関連施設
operator	BV Zonnepark Ameland	2010490378	BV Zonneparkアーメラント演算子
operator	Caledonian MacBrayne	2010490392	カレドニアンMacBrayne演算子
building:material	canvas;wood	2011050010	キャンバス、木製建物：材料
operator	Celle Uelzen Netz AG	2010490435	ツェレユルツェンネッツAG演算子
operator	ČEZ Distribuce, a.s.	2010490450	ČEZDistribuce、A.S.オペレーター
building:material	CI/Concrete	2011050014	CI /コンクリート建物：材料
operator	Club vosgien Lemberg	2010490502	クラブvosgienレンベルク演算子
operator	Cranfield University	2010490555	クランフィールド大学演算子
species	Crataegus crus-gallii	2010970096	クラテグス下腿-gallii種
species	Crataegus x lavalleei	2010970107	サンザシのx lavalleei種
species	Cretaegus 'Carrierei'	2010970110	Cretaegus 'Carrierei' 種
operator	Darebin City Council	2010490581	Darebin市議会演算子
operator	DB Bahn Westfalenbus	2010490588	DBバーンWestfalenbus演算子
operator	DB Station & Service	2010490601	DBステーション＆サービス事業者
operator	Department of Health	2010490611	健康オペレータの省
operator	Deutsche Postbank AG	2010490625	独ポストバンクAG演算子
operator	Devon County Council	2010490630	デボン州議会運営
operator	Diocese of Covington	2010490639	コヴィントン演算子の主教区
operator	East Midlands Trains	2010490692	イーストミッドランドは、オペレータ列車
species	ELEAGNUS ANGUSTIFOLIA	2010970124	ELEAGNUSアングスティフォリア種
species	Emplacement à planter	2010970126	プランター種à定置
operator	eon Gas Storage GmbH	2010490760	EONガス貯蔵社のオペレータ
operator	Essex County Council	2010490774	エセックス州議会運営
species	Eucalyptus astringens	2010970130	ユーカリastringens種
species	Eucalyptus botryoides	2010970131	ユーカリbotryoides種
species	Eucalyptus cladocalyx	2010970132	ユーカリcladocalyx種
species	Eucalyptus leucoxylon	2010970137	ユーカリleucoxylon種
species	Eucalyptus melliodora	2010970140	ユーカリmelliodora種
species	Eucalyptus microcarpa	2010970141	ユーカリmicrocarpa種
species	Eucalyptus spathulata	2010970147	ユーカリspathulata種
operator	Ferrovie dello Stato	2010490818	FerrovieデッロStato演算子
operator	Fichtelgebirgsverein	2010490827	Fichtelgebirgsverein演算子
operator	Forestry Corporation	2010490849	林業公社演算子
vehicle	forestry;agricultural	2012120010	林業;農業車両
species	Fraxinus Angustifolia Raywood	2010970163	トネリコアングスティフォリアRaywood
species	Fraxinus angustifolia 'Raywood'	2010970163	トネリコアングスティフォリアRaywood
species	Fraxinus pensylvanica 'Zundert'	2010970174	ズンデルトpensylvanicaトネリコ
barrier	full-height_turnstile	2010200024	フルheight_turnstile障壁
operator	Gas Networks Ireland	2010490874	ガス・ネットワークアイルランド演算子
generator:method	gasification	2011650003	ガス化発電：メソッド
building:roof	genteng (tile)2	2011720003	genteng（タイル）2建物：屋根
species	Gleditsia triacanthos	2010970181	Gleditsia triacanthos種
species	GLEDITSIA TRIACANTHOS	2010970181	GLEDITSIA TRIACANTHOS種
operator	Golfbaan Sluispolder	2010490913	Golfbaan Sluispolder演算子
building:usage:pl	Gospodarczy	2011950005	Gospodarczyビル：使用方法：PL
building:usage:pl	gospodarczy	2011950005	gospodarczy建物：使用方法：PL
operator	Hafenverwaltung Kehl	2010490954	Hafenverwaltungケール演算子
operator	Hekurudhat e Kosovës	2010490989	Hekurudhat電子Kosovësオペレータ
operator	Hessische Landesbahn	2010491003	Hessische Landesbahn演算子
operator	Hoxne Parish Council	2010491042	ホクスン教区評議会演算子
operator	Hurum Turistforening	2010491051	Hurum Turistforening演算子
operator	Iberdrola Renewables	2010491063	イベルドローラ再生可能エネルギー事業者
trail_visibility	intermediate	2011640005	中間trail_visibility
operator	Inyo National Forest	2010491101	Inyoの国有林事業者
operator	J.J. Kavanagh & Sons	2010491126	J.J.カバナー＆サンズ演算子
species	Jacaranda mimosifolia	2010970194	ジャカランダのmimosifolia種
operator	Junta de Extremadura	2010491159	ハンタ・デ・エストレマドゥーラ演算子
operator	Lincoln Clean Energy	2010491330	リンカーンクリーンエネルギー事業
operator:type	local_authority	2012290007	local_authority演算子：タイプ
operator	Long Island Railroad	2010491353	ロングアイランド鉄道事業者
operator	Makedonski Železnici	2010491392	MakedonskiŽeleznici演算子
operator	Marktgemeinde Alland	2010491407	Marktgemeinde Alland演算子
operator	McGill's Bus Service	2010491425	マギルのバスサービスオペレータ
building:material	metal;wood;	2011050032	金属、木材、建材
operator	Metro de Caracas C.A	2010491448	メトロ・デ・カラカスC.A演算子
sport	multi;soccer;basketball	2010680080	マルチ;サッカー;バスケットボールスポーツ
operator	Nadleśnictwo Złoczew	2010491566	NadleśnictwoZłoczew演算子
operator	Nascentes das Gerais	2010491577	Nascentesダス・ジェライス演算子
operator	Naturpark Hochtaunus	2010491592	Naturpark Hochtaunus演算子
operator	Netze Magdeburg GmbH	2010491612	Netzeマクデブルク社のオペレータ
operator	North County Transit District	2010491654	北郡トランジット地区
owner	North County Transit District	2010491654	北郡トランジット地区
operator	North County Transit District;BNSF	2010491654	北郡トランジット地区
operator	ÖBB-Infrastruktur AG	2010491692	ÖBB・インフラストラクチャですAGオペレータ
operator	Ohi-Rail Corporation	2010491708	大井・レール社のオペレータ
operator	OilTanking Amsterdam	2010491714	OilTankingアムステルダム演算子
operator	OMV Slovenija d.o.o.	2010491726	OMVスロベニアD.O.O.オペレーター
generator:method	photovoltaic	2011650004	太陽光発電：メソッド
generator:source	photovoltaic	2011390015	太陽光発電：ソース
generator:method	photovoltaik	2011650006	photovoltaikジェネレータ：メソッド
species	Pinus nigra austriaca	2010970312	ヨーロッパクロマツのaustriaca種
species	Pittosporum undulatum	2010970331	トベラ属undulatum種
species	Platanus × acerifolia	2010970334	プラタナスは種acerifolia×
species	Platanus occidentalis	2010970340	アメリカスズカケノキ種
species	PLATANUS OCCIDENTALIS	2010970340	アメリカスズカケノキ種
species	Platanus x acerifolia	2010970345	プラタナスのx acerifolia種
operator	Policía de la Ciudad	2010491863	Policía・デ・ラ・シウダーオペレータ
species	Populus nigra italica	2010970358	ポプラのイタリカ種
operator	Prefeitura Municipal	2010491897	Prefeitura市オペレーター
building:usage:pl	Przemysłowy	2011950011	Przemysłowy建物：使用方法：PL
building:usage:pl	przemysłowy	2011950011	przemysłowy建物：使用方法：PL
species	PSEUDOTSUGA MENZIESII	2010970415	トガサワラ属MENZIESII種
species	Pseudotsuga menziesii	2010970415	トガサワラ属menziesii種
operator	Punjab National Bank	2010491931	パンジャブ国立銀行のオペレーター
species	Quercus castaneifolia	2010970428	コナラcastaneifolia種
species	Quercus muehlenbergii	2010970435	コナラmuehlenbergii種
operator	Regionalverband Ruhr	2010491977	Regionalverbandルール地方のオペレータ
species	Robinia umbraculifera	2010970455	Robiniaののumbraculifera種
operator	上海交通大学	2010492163	上海交通大学
operator	ООО "Симский водоконал"	2010492187	署名 "Symskyyのvodokonal"
operator	SIU Parking Division	2010492194	SIU駐車除算演算子
operator	Sparkasse Heidelberg	2010492248	SPARKASSEハイデルベルク演算子
seasonal	spring;summer;autumn	2012260005	春、夏、秋の季節
seasonal	spring/summer/autumn	2012260006	春/夏/秋の季節
operator	St John Ambulance WA	2010492268	聖ヨハネ救急車WA演算子
operator	Stadtwerke Bielefeld	2010492286	Stadtwerkeビーレフェルト演算子
operator	Stadtwerke Göttingen	2010492295	Stadtwerkeゲッティンゲン演算子
operator	Stadtwerke Heinsberg	2010492297	Stadtwerke Heinsbergの演算子
operator	Stadtwerke Karlsruhe	2010492300	Stadtwerkeカールスルーエ演算子
operator	Stadtwerke Osnabrück	2010492316	Stadtwerkeオスナブリュック演算子
operator	Stadtwerke Pforzheim	2010492318	Stadtwerkeプフォルツハイム演算子
operator	Stadtwerke Remscheid	2010492320	Stadtwerkeレムシャイト演算子
operator	Stadtwerke Straubing	2010492327	Stadtwerkeシュトラウビング演算子
operator	Stadtwerke Troisdorf	2010492329	Stadtwerkeトロイスドルフ演算子
roof:material	stainless_steel	2011010037	stainless_steel屋根：材料
brand	Ощадбанк	2011920492	State Savings Bank of Ukraine
operator	Sumitomo;Duke Energy	2010492379	住友;デュークエナジーオペレータ
operator:zh	台灣鐵路	2010492422	台湾鉄路管理局
operator	Taiwan Railway Administration	2010492422	台湾鉄路管理局
operator	台灣鐵路管理局	2010492422	台湾鉄路管理局
operator	臺灣鐵路管理局	2010492422	台湾鉄路管理局
operator:zh	台灣鐵路管理局	2010492422	台湾鉄路管理局
operator	The University Group	2010492483	大学グループ演算子
operator	Toronto District School Board	2010492516	トロント地区の教育委員会
species	Trachycarpus fortunei	2010970539	シュロfortunei種
building:material	traditional	2011050056	伝統的な建物：材料
operator	Transdev;Tullamarine	2010492544	Transdev;タラマリン演算子
species	Tristaniopsis laurina	2010970541	Tristaniopsisのロリーナ種
operator	Uganda Muslim Supreme Council	2010492607	ウガンダムスリム最高評議会
operator	UND Parking Services	2010492615	UND駐車場サービス事業者
type	Unidad de Salud Familiar	2010250190	Unidadデサルー身近タイプ
operator	Verkehrsverein Stäfa	2010492726	VerkehrsvereinStäfaの演算子
operator	Volksbank-Arena Harz	2010492758	Volksbankアリーナハルツオペレータ
operator	WaBo Wagenfelder Aue	2010492773	WaBo Wagenfelderアウエ演算子
species	Washingtonia filifera	2010970564	ワシントンヤシ属のfilifera種
operator	West Lothian Council	2010492804	ウェスト・ロージアン協議会演算子
operator	Westfalen Weser Netz	2010492808	ヴェストファーレンヴェーザーネッツ演算子
operator	Wilhelm Welser Traun	2010492829	ヴィルヘルム・ヴェルザーTraunの演算子
generator:method	wind_turbine	2011650010	wind_turbineジェネレータ：メソッド
internet_access	wlan;terminal	2012040009	WLAN;ターミナルinternet_access
building:material	wood/bamboo	2011050060	木材/竹建物：材料
operator	Yarra Trams;Transdev	2010492884	ヤラトラム; Transdev演算子
shop	agrarian	2010350002	農業資材店
shop	agriculture	2010350002	農業資材店
service	full	2010230001	フルサービスの山小屋
building:colour	antiquewhite	2011880001	antiquewhite建物：色
operator	Austin Peay State University	2010490157	Austin Peay State University
operator	Bakony Volán (Pápa)	2010490195	Bakony VOLAN（PAPA）演算子
operator	Bakony Volán (Várpalota)	2010490196	Bakonyerdő Volan (Várpalota)
operator	Banco de la Nación Argentina	2010490206	Banco de la Nación Argentina
species	Banksia integrifolia	2010970042	バンクシアのintegrifolia種
operator	Universität der Bundeswehr München	2010490368	ミュンヘン連邦大学
operator	Căile Ferate Române	2010490387	ルーマニア鉄道事業者
operator	Canal & River Trust	2010490404	運河＆川トラスト演算子
species	Catalpa bignonioides	2010970059	キササゲ属のbignonioides種
species	CATALPA BIGNONIOIDES	2010970059	キササゲ属BIGNONIOIDES種
operator	Celesc Distribuição	2010490433	サンタカタリーナ電力Distribuição演算子
denomination	christadelphian	2011340007	キリスト・アデルフィアン派の宗派
building:usage:pl	Cieplarnia	2011950002	Cieplarniaビル：使用方法：PL
operator	Commonwealth Edison	2010490517	コモンウェルス・エジソンオペレータ
roof:material	concrete;metal	2011010009	コンクリート、金属屋根：材料
operator	Consolidated Edison	2010490531	コン・エジソンオペレータ
operator	Coop Genossenschaft	2010490534	コープGenossenschaft演算子
operator	Cottbusverkehr GmbH	2010490545	Cottbusverkehr社のオペレータ
species	Crataegus crus-galli	2010970095	クラテグスイヌビエ種
species	Crataegus oxyacantha	2010970101	クラテグスoxyacantha種
species	Crataegus x lavallei	2010970108	サンザシのx lavallei種
species	Crataegus X lavallei	2010970108	セイヨウサンザシXのlavallei種
species	Cryptomeria japonica	2010970111	スギ種
species	Cupressus macrocarpa	2010970113	イトスギのmacrocarpa種
operator	Das Bergische gGmbH	2010490584	ダスベルギッシュgGmbH演算子
hgv	delivery	2011310001	出荷重量物運搬車両
hgv:backward	delivery	2011310001	出荷重量物運搬車両
hgv	destination;delivery	2011310001	出荷重量物運搬車両
vehicle	destination;delivery	2012120007	宛先;送達ビヒクル
operator	Deutsche Telekom AG	2010490626	ドイツテレコム・アーゲー演算子
species	Diospyros virginiana	2010970118	アメリカガキ種
species	Diospyros xolocotzii	2010970119	カキノキのxolocotzii種
operator	Doctor's Associates	2010490647	ドクターズ・アソシエイツオペレータ
operator	Dublin City Council	2010490667	ダブリン市議会演算子
operator	Dublin Port Company	2010490668	ダブリン港当社オペレーター
operator	Easy Service S.R.L.	2010490695	簡単にサービスS.R.L.オペレーター
operator	Éducation Nationale	2010490705	教育国立演算子
generator:source	electricity	2011390006	発電機：ソース
species	Embothrium coccineum	2010970125	Embothriumのcoccineum種
emergency	designated	2010800008	緊急車両専用
operator	Energía de Misiones	2010490740	エネルギア・デ・ミシオネス演算子
operator	Energie Wasser Bern	2010490745	ENERGIEワッサーベルン演算子
operator	Erdgas Südwest GmbH	2010490763	ErdgasSüdwestGmbH社のオペレータ
operator	Erms-Neckar-Bahn AG	2010490767	ERMS-ネッカーバーンAG演算子
species	Eucalyptus macrandra	2010970138	ユーカリmacrandra種
species	Eucalyptus mannifera	2010970139	ユーカリmannifera種
species	Eucalyptus viminalis	2010970148	ユーカリviminalis種
operator	Evangelische Kirche	2010490789	Evangelische Kircheの演算子
building:condition	excellent	2012050003	優れた建物：条件
operator	Expresso Lorenzutti	2010490797	エスプレッソLorenzutti演算子
operator	Federal Transferido	2010490809	連邦Transferido演算子
operator	Feuerwehr Bielefeld	2010490819	Feuerwehrビーレフェルトオペレータ
operator	Feuerwehr Nienhagen	2010490822	Feuerwehr Nienhagen演算子
operator	First National Bank	2010490834	ファーストナショナルバンク演算子
operator	Forestry Commission	2010490848	林業委員会演算子
hgv	forestry	2011310002	林業用大型貨物車
access	forestry;agricultural	2010220026	林業;農業アクセス
operator	Forstamt Lauterberg	2010490850	Forstamtラウターベルク演算子
operator	Forster Bus Service	2010490851	フォースターバスサービスオペレータ
generator:output:electricity	yes	2012090001	発電機：出力：電気
operator	Golden Gate Transit	2010490911	ゴールデンゲート・トランジットオペレータ
operator	Grand River Transit	2010490921	グランドリバートランジットオペレータ
operator	Green Mountain Club	2010490926	グリーンマウンテンクラブオペレータ
building:levels	Ground Level	2010150002	地上レベルの建物：レベル
operator	Hamburger Sparkasse	2010490969	ハンバーガーSPARKASSE演算子
operator	Hedingham Omnibuses	2010490984	ヘディンガムOmnibuses演算子
operator	Heider Stadtverkehr	2010490986	ハイダーStadtverkehr演算子
operator	Hekurudha Shqiptare	2010490988	Hekurudha Shqiptare演算子
historic	industrial	2011080039	歴史的な産業施設
operator	北海道警察本部	2010491025	北海道警察本部
brand	Holiday Inn Express & Suites	2011920226	ホリデイ・インエクスプレス＆スイーツ
operator	Horários do Funchal	2010491038	Horáriosはフンシャル演算子を行います
operator	Institution (Staff)	2010491094	機関（スタッフ）演算子
operator	Iowa DNR - Wildlife	2010491102	アイオワDNR - 野生生物の演算子
crossing	island;uncontrolled	2010470005	島;制御されていない交差点
operator	Journey at Pechanga	2010491141	ペチャンガ演算子の旅
species	Juniperus virginiana	2010970203	エンピツビャクシン種
species	JUNIPERUS VIRGINIANA	2010970203	ビャクシンVIRGINIANA種
operator	Keene State College	2010491189	キーン州立大学演算子
operator	Kent County Council	2010491200	ケント州議会運営
operator	Keolis Seine Sénart	2010491215	Keolisセーヌセナール演算子
operator	Kitsap County Parks	2010491228	キトサップ郡公園オペレータ
operator	Kreissparkasse Köln	2010491257	Kreissparkasseケルン演算子
species	Laburnum anagyroides	2010970205	ラバーナムは種をanagyroides
species	Lagerstroemia indica	2010970206	サルスベリの種
operator	Lake Worth Drainage District	2010491283	レイクワース排水ディストリクト
operator	Land Sachsen-Anhalt	2010491288	土地ザクセン=アンハルト演算子
operator	Landgoed Voorlinden	2010491291	Landgoed Voorlinden演算子
operator	London Fire Bridage	2010491347	ロンドン火Bridage演算子
operator	Lusaka City Council	2010491365	ルサカ市議会演算子
operator	Luzerner Wanderwege	2010491368	ルツェルンWanderwege演算子
species	Magnolia grandiflora	2010970227	タイサンボク種
species	Magnolia soulangéana	2010970229	マグノリアsoulangéana種
operator	Mairie de Montrouge	2010491388	メリー・ド・モンルージュ演算子
species	Malus �Red Sentinel�	2010970250	マリュスレッドセンチネル種
operator	Marina Port Zelande	2010491402	マリーナポートZelande演算子
operator	Max Rubner-Institut	2010491420	マックス・ルブナー-研究所演算子
operator	Meezan Bank Limited	2010491431	Meezan・バンク・リミテッドオペレータ
species	Melaleuca armillaris	2010970258	メラルーカarmillaris種
species	Melaleuca ericifolia	2010970259	メラルーカericifolia種
species	Melaleuca lanceolata	2010970261	メラルーカlanceolata種
operator	Mesa Public Schools	2010491441	メサ公立学校の演算子
operator	Mestské lesy Košice	2010491445	Mestskélesyコシツェ演算子
building:material	metal;wood	2011050031	金属、木材建物：材料
building:usage:pl	Mieszkalny	2011950009	Mieszkalnyビル：使用方法：PL
building:usage:pl	mieszkalny	2011950009	mieszkalny建物：使用方法：PL
